Method,Name,Error,Occurrences,First Seen,Last Seen
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:26.564023-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:26Z,2026-06-18T01:54:26Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:43.348445-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:43Z,2026-06-18T01:54:43Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:49.065345-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:49Z,2026-06-18T01:54:49Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:53.684871-04:00""}""
>",1,2026-06-18T01:54:53Z,2026-06-18T01:54:53Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:25.193551-04:00""}""
>",1,2026-06-18T01:54:25Z,2026-06-18T01:54:25Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:26.832514-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:26Z,2026-06-18T01:54:26Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:38.082445-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:38Z,2026-06-18T01:54:38Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:55.324032-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:55Z,2026-06-18T01:54:55Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:33.935188-04:00""}""
>",1,2026-06-18T01:54:33Z,2026-06-18T01:54:33Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:49.34014-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:49Z,2026-06-18T01:54:49Z
