Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781758455,20,,Aggregated,3.900000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,848,0,250,251.13186665800512,234.38387500027602,999.2235419995268,126.55778301886792
1781758461,20,,Aggregated,3.900000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,870,0,250,251.21886289309128,234.38387500027602,999.2235419995268,126.52068965517242
1781758466,20,,Aggregated,3.900000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,892,0,250,251.2269077085086,234.38387500027602,999.2235419995268,126.49663677130044
1781758472,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,914,0,250,251.35981282602563,234.38387500027602,999.2235419995268,126.47374179431073
1781758477,20,,Aggregated,3.900000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,936,0,250,251.28644142199494,234.38387500027602,999.2235419995268,126.4594017094017
1781758483,20,,Aggregated,3.900000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,958,0,250,251.26818445927725,234.38387500027602,999.2235419995268,126.38726513569938
1781758489,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,1000,1000,1000,981,0,250,251.27127948419152,234.38387500027602,999.2235419995268,126.45769622833843
1781758494,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,600,1000,1000,1003,0,250,251.1895723339934,234.38387500027602,999.2235419995268,126.41874376869391
1781758500,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,600,1000,1000,1026,0,250,251.18552461890548,234.38387500027602,999.2235419995268,126.37816764132553
1781758505,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,600,1000,1000,1048,0,250,251.17916715267037,234.38387500027602,999.2235419995268,126.34828244274809
1781758511,20,,Aggregated,3.900000,0.000000,250,250,250,250,260,270,290,310,600,1000,1000,1069,0,250,251.4155363348938,234.38387500027602,999.2235419995268,126.32273152478952
1781758516,20,,Aggregated,3.900000,0.000000,250,250,250,250,260,270,290,310,600,1000,1000,1091,0,250,251.3910835710325,234.38387500027602,999.2235419995268,126.36205316223648
1781758522,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,600,1000,1000,1113,0,250,251.30160288229598,234.38387500027602,999.2235419995268,126.31446540880503
1781758528,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,600,1000,1000,1136,0,250,251.28188931073612,234.38387500027602,999.2235419995268,126.28961267605634
1781758533,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,600,1000,1000,1159,0,250,251.31604508972814,234.38387500027602,999.2235419995268,126.25798101811907
1781758539,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,600,1000,1000,1181,0,250,251.23161470532656,234.38387500027602,999.2235419995268,126.24132091447926
1781758544,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,600,1000,1000,1203,0,250,251.15332253449233,234.38387500027602,999.2235419995268,126.24189526184539
1781758550,20,,Aggregated,4.000000,0.000000,250,250,250,250,260,270,290,310,600,1000,1000,1225,0,250,251.13344167345983,234.38387500027602,999.2235419995268,126.2326530612245
